fundingTime,symbol,fundingRate,pre_basis,post_basis,net_effect,is_fee_covered
2024-12-11 08:00:00,TLMUSDT,-0.00034811,-1.1399999999998217e-05,-1.61639344262339e-05,0.0003528739344262357,False
2024-12-11 08:00:00,GMTUSDT,-0.00027198,-0.00016983333333331352,-0.00021245901639349585,0.00031460568306018234,False
2024-12-11 12:00:00,MOVEUSDT,-0.00029037,-0.0005450000000001287,-0.00013114754098342285,0.000704222459016706,False
